,Prediction
0,1
1,0
2,1
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,0
22,0
23,1
24,1
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,1
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,0
67,0
68,1
69,1
70,1
71,0
72,0
73,0
74,1
75,1
76,0
77,0
78,1
79,0
80,0
81,0
82,1
83,1
84,1
85,1
86,0
87,1
88,0
89,0
90,0
91,1
92,1
93,0
94,1
95,1
96,1
97,0
98,0
99,0
100,0
101,0
102,1
103,0
104,1
105,1
106,0
107,1
108,1
109,1
110,1
111,0
112,0
113,0
114,1
115,1
116,0
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,1
134,0
135,1
136,1
137,1
138,1
139,0
140,1
141,1
142,1
143,1
144,0
145,1
146,0
147,1
148,0
149,0
150,1
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,1
160,0
161,1
162,0
163,1
164,0
165,0
166,0
167,1
168,0
169,0
170,1
171,1
172,1
173,0
174,0
175,0
176,1
177,1
178,0
179,0
180,0
181,1
182,0
183,1
184,1
185,1
186,0
187,0
188,0
189,1
190,0
191,1
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,0
206,1
207,1
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,1
220,0
221,1
222,1
223,0
224,0
225,1
226,0
227,0
228,1
229,0
230,1
231,1
232,1
233,1
234,0
235,0
236,0
237,1
238,1
239,1
240,0
241,1
242,0
243,1
244,0
245,1
246,1
247,1
248,1
249,1
250,0
251,0
252,1
253,0
254,0
255,0
256,1
257,0
258,1
259,0
260,0
261,1
262,1
263,0
264,0
265,1
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,1
274,0
275,1
276,1
277,1
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,0
286,1
287,0
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,0
298,1
299,1
300,1
301,1
302,1
303,1
304,0
305,0
306,1
307,0
308,1
309,0
310,0
311,1
312,1
313,0
314,0
315,0
316,1
317,0
318,1
319,0
320,0
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,0
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,1
342,0
343,1
344,0
345,1
346,0
347,0
348,1
349,1
350,0
351,1
352,0
353,0
354,0
355,1
356,1
357,0
358,0
359,1
360,0
361,0
362,1
363,0
364,1
365,1
366,0
367,0
368,0
369,1
370,1
371,1
372,1
373,0
374,0
375,0
376,1
377,0
378,0
379,0
380,0
381,1
382,0
383,1
384,1
385,0
386,1
387,0
388,0
389,0
390,1
391,1
392,0
393,1
394,0
395,0
396,0
397,0
398,1
399,1
400,1
401,1
402,1
403,0
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,1
420,0
421,0
422,1
423,1
424,1
425,0
426,1
427,0
428,1
429,1
430,1
431,0
432,0
433,0
434,0
435,1
436,0
437,0
438,1
439,1
440,0
441,0
442,1
443,0
444,0
445,0
446,1
447,0
448,0
449,1
450,1
451,0
452,0
453,0
454,1
455,0
456,0
457,1
458,1
459,1
460,1
461,0
462,0
463,0
464,1
465,1
466,1
467,0
468,0
469,0
470,1
471,0
472,1
473,1
474,0
475,0
476,1
477,1
478,0
479,0
480,1
481,0
482,1
483,0
484,1
485,1
486,1
487,1
488,0
489,1
490,0
491,0
492,0
493,1
494,1
495,1
496,0
497,1
498,1
499,1
500,0
501,0
502,1
503,1
504,0
505,1
506,0
507,1
508,0
509,0
510,1
511,0
512,0
513,1
514,0
515,1
516,0
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,1
525,0
526,0
527,0
528,1
529,0
530,1
531,0
532,1
533,0
534,0
535,1
536,1
537,0
538,0
539,0
540,1
541,1
542,0
543,0
544,1
545,0
546,1
547,0
548,1
549,1
550,0
551,0
552,1
553,1
554,0
555,0
556,0
557,1
558,1
559,1
560,0
561,0
562,1
563,0
564,0
565,0
566,1
567,0
568,0
569,0
570,1
571,1
572,0
573,1
574,1
575,0
576,0
577,0
578,0
579,1
580,1
581,1
582,1
583,0
584,1
585,1
586,1
587,0
588,0
589,0
590,0
591,0
592,0
593,1
594,0
595,0
596,0
597,0
598,1
599,0
600,0
601,0
602,0
603,0
604,1
605,0
606,0
607,0
608,0
609,1
610,0
611,0
612,1
613,0
614,0
615,0
616,0
617,0
618,0
619,1
620,1
621,0
622,1
623,0
624,0
625,1
626,0
627,0
628,1
629,1
630,0
631,0
632,1
633,1
634,1
635,1
636,1
637,0
638,1
639,1
640,1
641,0
642,1
643,0
644,1
645,0
646,1
647,0
648,1
649,0
650,0
651,1
652,0
653,0
654,0
655,1
656,0
657,1
658,1
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,1
667,0
668,1
669,1
670,1
671,0
672,1
673,1
674,0
675,0
676,1
677,0
678,1
679,0
680,0
681,0
682,1
683,1
684,1
685,0
686,0
687,0
688,1
689,0
690,0
691,1
692,1
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,1
708,0
709,0
710,1
711,0
712,0
713,1
714,0
715,1
716,0
717,0
718,1
719,1
720,0
721,0
722,1
723,1
724,0
725,1
726,0
727,0
728,0
729,0
730,1
731,0
732,0
733,0
734,0
735,0
736,1
737,1
738,1
739,0
740,1
741,0
742,1
743,1
744,1
745,0
746,1
747,1
748,0
749,0
750,0
751,0
752,1
753,1
754,1
755,1
756,0
757,1
758,1
759,0
760,0
761,0
762,1
763,0
764,1
765,0
766,0
767,0
768,1
769,0
770,1
771,0
772,1
773,1
774,0
775,1
776,0
777,1
778,0
779,1
780,1
781,0
782,0
783,0
784,0
785,1
786,1
787,1
788,1
789,1
790,0
791,1
792,1
793,0
794,1
795,1
796,1
797,1
798,1
799,0
